iter	Accuracy	MultiClass
0	0.6614375	1.034148083
1	0.6646	0.9783943471
2	0.6828	0.9329551513
3	0.6830125	0.8958701503
4	0.6821375	0.8665228619
5	0.685225	0.8401517646
6	0.6868875	0.8189476412
7	0.7167	0.7902827619
8	0.7173875	0.7732647189
9	0.7501875	0.7364637337
10	0.7581875	0.7057783876
11	0.7713125	0.6811575407
12	0.77745	0.6588326308
13	0.7775625	0.6408658952
14	0.7771125	0.6253715964
15	0.7761625	0.6117450127
16	0.7758875	0.6003045115
17	0.7756375	0.5902037321
18	0.7760375	0.5823898229
19	0.778075	0.5741679726
20	0.7793	0.5646341816
21	0.780525	0.5569873999
22	0.7826875	0.5491502301
23	0.7842	0.5421603624
24	0.78555	0.5368773471
25	0.786625	0.5313699666
26	0.7873	0.5269829059
27	0.7876625	0.5236096203
28	0.7881875	0.5186533043
29	0.7886	0.5148629163
30	0.7893875	0.5115865997
31	0.78985	0.5086742902
32	0.790475	0.5065676787
33	0.79095	0.5042004717
34	0.791375	0.5015873536
35	0.7915875	0.499804505
36	0.7922625	0.4981230355
37	0.792325	0.4966668012
38	0.79285	0.4949233118
39	0.7937	0.4930970618
40	0.7945875	0.4912193622
41	0.795525	0.4890346875
42	0.7956125	0.4879907233
43	0.79595	0.4867879798
44	0.7962375	0.4857715706
45	0.7972375	0.4833583031
46	0.7978125	0.4825610977
47	0.797925	0.4818106949
48	0.798125	0.4809841093
49	0.798475	0.4802787326
50	0.79905	0.4789862877
51	0.7993125	0.4778910646
52	0.79935	0.4775073492
53	0.7997375	0.4768620613
54	0.8002375	0.4760585053
55	0.8003375	0.4758974281
56	0.8006625	0.4749288412
57	0.8007125	0.474307842
58	0.8008125	0.4736968643
59	0.80125	0.473349851
60	0.8022125	0.4718915778
61	0.8025	0.4714499104
62	0.802625	0.4711033056
63	0.8025375	0.4708327849
64	0.8030125	0.4695676195
65	0.8028625	0.4692320237
66	0.8030625	0.4689883279
67	0.8030875	0.468332015
68	0.8038125	0.4674657275
69	0.8037625	0.4673942773
70	0.8045125	0.46696847
71	0.8045375	0.4669676576
72	0.804625	0.466564895
73	0.804775	0.4662390135
74	0.80455	0.4658634736
75	0.8048	0.4653729316
76	0.805025	0.4647347063
77	0.8052375	0.4642358337
78	0.8052	0.4639956225
79	0.8054125	0.4636142502
80	0.8060625	0.4625750683
81	0.806275	0.462408694
82	0.8065625	0.4620505778
83	0.8064875	0.4617996618
84	0.807125	0.4609456705
85	0.8074	0.4607320296
86	0.8075	0.4603206126
87	0.8079625	0.4597204938
88	0.8079875	0.4596785259
89	0.8087125	0.4584653696
90	0.8088375	0.4582328946
91	0.8087875	0.4582081877
92	0.8087875	0.4579874455
93	0.80885	0.4577920731
94	0.80905	0.4574521564
95	0.8093375	0.456861723
96	0.81035	0.4557039695
97	0.810625	0.4550208332
98	0.8109	0.4546929728
99	0.8109125	0.4545496758
100	0.81125	0.4542584469
101	0.8116125	0.4539221466
102	0.8116875	0.4535715947
103	0.8119625	0.4533999213
104	0.8119875	0.4533370685
105	0.8120125	0.4532624368
106	0.81235	0.4530776589
107	0.8123875	0.4530138015
108	0.812575	0.4525219338
109	0.8126875	0.4524469098
110	0.8128375	0.4520954218
111	0.81305	0.4518005442
112	0.81305	0.4516065307
113	0.8131125	0.451581485
114	0.8138	0.45088887
115	0.8137625	0.4507623072
116	0.8140375	0.4504787937
117	0.8142625	0.4502172983
118	0.814325	0.449938173
119	0.814525	0.4497220721
120	0.8146375	0.4495595879
121	0.81455	0.4494165642
122	0.8146	0.4493522213
123	0.81465	0.449272118
124	0.815225	0.4484364121
125	0.8153125	0.4481616206
126	0.8153625	0.4480589721
127	0.8152875	0.4479909941
128	0.8154	0.4478287053
129	0.81615	0.4468529321
130	0.8161875	0.4466508749
131	0.8165625	0.4463919631
132	0.8166375	0.4462813088
133	0.817375	0.4450585714
134	0.817525	0.4448108106
135	0.8176375	0.4446441617
136	0.8178375	0.4444724205
137	0.8179625	0.4444094436
138	0.8180375	0.4440174222
139	0.8181125	0.4437961259
140	0.81805	0.4436959609
141	0.8181	0.4436182945
142	0.8186625	0.442837575
143	0.8188625	0.4426896809
144	0.8191125	0.4425920263
145	0.81915	0.4424004814
146	0.819325	0.4423112105
147	0.8195625	0.442172756
148	0.8196125	0.441866522
149	0.819575	0.4417644823
150	0.8196375	0.4417030809
151	0.81955	0.4416595597
152	0.819775	0.4415594043
153	0.8197875	0.4415004209
154	0.8198875	0.4413462705
155	0.8199	0.4412118501
156	0.8199125	0.4411859849
157	0.82	0.4411280027
158	0.8199375	0.4411036521
159	0.820025	0.4410139462
160	0.820175	0.4408527819
161	0.82015	0.4407973463
162	0.8201875	0.4406722564
163	0.8202375	0.4406324635
164	0.8202625	0.4405178915
165	0.820225	0.4404887071
166	0.8201375	0.4404123904
167	0.8201625	0.4403287279
168	0.8202125	0.4401914512
169	0.8202125	0.4401096813
170	0.8205375	0.4399647821
171	0.8206125	0.4398895136
172	0.8207	0.4397201972
173	0.8205875	0.4396698987
174	0.8206625	0.4394812332
175	0.8208	0.4393681947
176	0.820725	0.439329728
177	0.820675	0.4392095181
178	0.820825	0.4391249435
179	0.8208	0.4390587112
180	0.82085	0.4389480334
181	0.820825	0.4389291339
182	0.8207625	0.4388672475
183	0.8208375	0.4388015706
184	0.821125	0.4386217408
185	0.8212375	0.4385153288
186	0.8211625	0.4384230478
187	0.821325	0.4383670015
188	0.8213	0.4383461161
189	0.8213875	0.4382787233
190	0.821375	0.4381271989
191	0.82145	0.4380429459
192	0.8214375	0.437968014
193	0.821525	0.4379032055
194	0.8221125	0.4371477126
195	0.8221	0.4369927381
196	0.8219	0.4369640684
197	0.8221375	0.436898587
198	0.8222625	0.4368186977
199	0.82235	0.4366882733
200	0.822325	0.436634685
201	0.8223875	0.4365311659
202	0.8224875	0.4364735507
203	0.8226	0.4363182265
204	0.8227125	0.4362509815
205	0.8227875	0.4361774776
206	0.8228125	0.43609637
207	0.82275	0.4359598861
208	0.8230375	0.4355112787
209	0.8229625	0.4354699456
210	0.8229875	0.435421833
211	0.8230125	0.4353034676
212	0.8231125	0.435233177
213	0.8231125	0.4350332668
214	0.8230875	0.4349255593
215	0.8232	0.4348524213
216	0.82325	0.434740013
217	0.8235	0.4345516597
218	0.8235625	0.4344311038
219	0.8236875	0.4343026872
220	0.8237875	0.4342397404
221	0.823875	0.4342078621
222	0.823775	0.434170623
223	0.823775	0.4341260121
224	0.82375	0.4340262397
225	0.8237875	0.4339956448
226	0.8238625	0.4339602186
227	0.8237625	0.4338923591
228	0.823775	0.4338393389
229	0.8238	0.4338083818
230	0.8239	0.4337496762
231	0.823875	0.4336923521
232	0.8239375	0.4336608758
233	0.823925	0.4336144023
234	0.8238875	0.4335236099
235	0.8239875	0.4334464783
236	0.82395	0.4332490859
237	0.8240125	0.4330862913
238	0.82405	0.4330246563
239	0.8242	0.4328666193
240	0.8241375	0.4327538689
241	0.8242375	0.4326608738
242	0.824125	0.4325006666
243	0.8242375	0.432441309
244	0.824275	0.4323341923
245	0.824275	0.4322978729
246	0.8243375	0.4321916343
247	0.8243625	0.4321568763
248	0.8244	0.4320936305
249	0.8244125	0.4320260419
250	0.82455	0.4319896834
251	0.8245625	0.4319468118
252	0.8244125	0.431790604
253	0.8245625	0.431754834
254	0.8246625	0.431703781
255	0.824775	0.4316014914
256	0.8246875	0.4315556898
257	0.824775	0.4314714338
258	0.82475	0.4313057419
